date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,1,1,1,1,0,0
30/03/2020,0,1,0,1,0,0
31/03/2020,0,1,0,1,0,0
01/04/2020,0,1,0,1,0,0
02/04/2020,0,1,0,1,0,0
03/04/2020,0,1,0,1,0,0
04/04/2020,0,1,0,1,0,0
05/04/2020,0,1,0,1,0,0
06/04/2020,0,1,0,1,0,0
07/04/2020,0,1,0,1,0,0
08/04/2020,0,1,0,1,0,0
09/04/2020,0,1,0,1,0,0
10/04/2020,0,1,0,1,0,0
11/04/2020,0,1,0,1,0,0
12/04/2020,0,1,0,1,0,0
13/04/2020,0,1,0,1,0,0
14/04/2020,0,1,0,1,0,0
15/04/2020,0,1,0,1,0,0
16/04/2020,0,1,0,1,0,0
17/04/2020,0,1,0,1,0,0
18/04/2020,0,1,0,1,0,0
19/04/2020,0,1,0,1,0,0
20/04/2020,0,1,0,1,0,0
21/04/2020,0,1,0,1,0,0
22/04/2020,0,1,0,1,0,0
23/04/2020,0,1,0,1,0,0
24/04/2020,0,1,0,1,0,0
25/04/2020,0,1,0,1,0,0
26/04/2020,0,1,0,1,0,0
27/04/2020,0,1,0,1,0,0
28/04/2020,0,1,0,1,0,0
29/04/2020,0,1,0,1,0,0
30/04/2020,0,1,0,1,0,0
01/05/2020,0,1,0,1,0,0
02/05/2020,0,1,0,1,0,0
03/05/2020,0,1,0,1,0,0
04/05/2020,0,1,0,1,0,0
05/05/2020,0,1,0,1,0,0
06/05/2020,0,1,0,1,0,0
07/05/2020,0,1,0,1,0,0
08/05/2020,1,2,1,2,0,0
09/05/2020,0,2,0,2,0,0
10/05/2020,2,4,2,4,0,0
11/05/2020,0,4,0,4,0,0
12/05/2020,0,4,0,4,0,0
13/05/2020,0,4,0,4,0,0
14/05/2020,0,4,0,4,0,0
15/05/2020,0,4,0,4,0,0
16/05/2020,0,4,0,4,0,0
17/05/2020,0,4,0,4,0,0
18/05/2020,0,4,0,4,0,0
19/05/2020,0,4,0,4,0,0
20/05/2020,1,5,1,5,0,0
21/05/2020,0,5,0,5,0,0
22/05/2020,0,5,0,5,0,0
23/05/2020,0,5,0,5,0,0
24/05/2020,0,5,0,5,0,0
25/05/2020,2,7,2,7,0,0
26/05/2020,0,7,0,7,0,0
27/05/2020,3,10,3,10,0,0
28/05/2020,5,15,3,13,0,0
29/05/2020,0,15,0,13,0,0
30/05/2020,4,19,3,16,1,1
31/05/2020,2,21,2,18,0,1
01/06/2020,3,24,3,21,0,1
02/06/2020,1,25,1,22,0,1
03/06/2020,22,47,17,39,0,1
04/06/2020,26,73,21,60,1,2
05/06/2020,8,81,3,63,0,2
06/06/2020,17,98,9,72,1,3
07/06/2020,28,126,14,86,1,4
08/06/2020,5,131,5,91,0,4
09/06/2020,12,143,7,98,0,4
10/06/2020,23,166,8,106,1,5
11/06/2020,8,174,3,109,2,7
12/06/2020,22,196,10,119,1,8
13/06/2020,17,213,3,122,4,12
14/06/2020,25,238,4,126,3,15
15/06/2020,2,240,2,128,0,15
16/06/2020,32,272,9,137,0,15
17/06/2020,28,300,3,140,3,18
18/06/2020,106,406,14,154,8,26
19/06/2020,43,449,12,166,2,28
20/06/2020,48,497,5,171,4,32
21/06/2020,41,538,1,172,2,34
22/06/2020,57,595,3,175,0,34
23/06/2020,54,649,8,183,7,41
24/06/2020,85,734,3,186,4,45
25/06/2020,113,847,3,189,5,50
26/06/2020,48,895,0,189,1,51
27/06/2020,81,976,0,189,5,56
28/06/2020,115,1091,1,190,13,69
29/06/2020,61,1152,0,190,1,70
30/06/2020,102,1254,0,190,7,77
01/07/2020,118,1372,1,191,4,81
02/07/2020,117,1489,1,192,6,87
03/07/2020,59,1548,0,192,6,93
04/07/2020,135,1683,0,192,3,96
05/07/2020,142,1825,0,192,0,96
06/07/2020,0,1825,0,192,0,96
