date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,1,1,1,1,0,0
30/03/2020,0,1,0,1,0,0
31/03/2020,0,1,0,1,0,0
01/04/2020,0,1,0,1,0,0
02/04/2020,0,1,0,1,0,0
03/04/2020,0,1,0,1,0,0
04/04/2020,1,2,0,1,1,1
05/04/2020,0,2,0,1,0,1
06/04/2020,0,2,0,1,0,1
07/04/2020,0,2,0,1,0,1
08/04/2020,3,5,3,4,0,1
09/04/2020,0,5,0,4,0,1
10/04/2020,0,5,0,4,0,1
11/04/2020,4,9,4,8,0,1
12/04/2020,0,9,0,8,0,1
13/04/2020,0,9,0,8,0,1
14/04/2020,2,11,2,10,0,1
15/04/2020,0,11,0,10,0,1
16/04/2020,2,13,2,12,0,1
17/04/2020,0,13,0,12,0,1
18/04/2020,1,14,1,13,0,1
19/04/2020,1,15,1,14,0,1
20/04/2020,0,15,0,14,0,1
21/04/2020,0,15,0,14,0,1
22/04/2020,0,15,0,14,0,1
23/04/2020,0,15,0,14,0,1
24/04/2020,1,16,1,15,0,1
25/04/2020,1,17,1,16,0,1
26/04/2020,0,17,0,16,0,1
27/04/2020,0,17,0,16,0,1
28/04/2020,0,17,0,16,0,1
29/04/2020,0,17,0,16,0,1
30/04/2020,0,17,0,16,0,1
01/05/2020,0,17,0,16,0,1
02/05/2020,0,17,0,16,0,1
03/05/2020,0,17,0,16,0,1
04/05/2020,0,17,0,16,0,1
05/05/2020,0,17,0,16,0,1
06/05/2020,1,18,1,17,0,1
07/05/2020,0,18,0,17,0,1
08/05/2020,0,18,0,17,0,1
09/05/2020,0,18,0,17,0,1
10/05/2020,5,23,2,19,0,1
11/05/2020,0,23,0,19,0,1
12/05/2020,1,24,1,20,0,1
13/05/2020,0,24,0,20,0,1
14/05/2020,4,28,3,23,1,2
15/05/2020,6,34,6,29,0,2
16/05/2020,6,40,6,35,0,2
17/05/2020,2,42,1,36,1,3
18/05/2020,0,42,0,36,0,3
19/05/2020,3,45,2,38,0,3
20/05/2020,0,45,0,38,0,3
21/05/2020,0,45,0,38,0,3
22/05/2020,1,46,1,39,0,3
23/05/2020,1,47,0,39,0,3
24/05/2020,2,49,2,41,0,3
25/05/2020,0,49,0,41,0,3
26/05/2020,0,49,0,41,0,3
27/05/2020,0,49,0,41,0,3
28/05/2020,2,51,0,41,1,4
29/05/2020,2,53,1,42,0,4
30/05/2020,9,62,3,45,0,4
31/05/2020,2,64,2,47,0,4
01/06/2020,4,68,2,49,0,4
02/06/2020,0,68,0,49,0,4
03/06/2020,24,92,5,54,0,4
04/06/2020,2,94,0,54,0,4
05/06/2020,11,105,3,57,0,4
06/06/2020,5,110,1,58,0,4
07/06/2020,5,115,0,58,1,5
08/06/2020,2,117,0,58,0,5
09/06/2020,2,119,0,58,0,5
10/06/2020,3,122,0,58,0,5
11/06/2020,1,123,0,58,0,5
12/06/2020,2,125,0,58,0,5
13/06/2020,2,127,0,58,0,5
14/06/2020,6,133,0,58,1,6
15/06/2020,1,134,0,58,0,6
16/06/2020,11,145,0,58,0,6
17/06/2020,4,149,0,58,0,6
18/06/2020,34,183,0,58,0,6
19/06/2020,13,196,0,58,1,7
20/06/2020,7,203,0,58,1,8
21/06/2020,6,209,0,58,0,8
