city,total
Bogota,1333
Cali,438
Medellin,199
Cartagena,157
Barranquilla,71
Santa Marta,71
Neiva,53
Cucuta,52
Pereira,46
Villavicencio,43
Palmira,39
Armenia,35
Valledupar,31
La Dorada,26
Dosquebradas,25
Ibague,25
Envigado,25
Chia,23
Bello,23
Soacha,21
Ipiales,19
Bucaramanga,16
Popayan,15
Pasto,15
Soledad,15
Buenaventura,12
Cienaga,12
Monteria,12
Togui,12
Itagui,11
Tulua,11
Yumbo,10
Manizales,10
Cajica,10
Rionegro,10
Yopal,9
Cota,9
Sabaneta,9
Cartago,8
Turbaco,7
Tunja,7
Jamundi,7
Floridablanca,7
Funza,6
Barrancabermeja,6
Buga,6
Zipaquira,6
Calarca,6
La Estrella,5
San Andres,5
Villapinzon,5
Miranda,5
El Cerrito,4
Mosquera,4
Tenjo,4
Apartado,4
Pacho,4
Villeta,4
Puerto Colombia,4
El Dovio,4
Santana,4
Suesca,4
Tumaco,4
Madrid,4
Montenegro,3
Espinal,3
Florida,3
Montebello,3
Facatativa,3
Circasia,3
Chinchina,3
Cumbal,3
Palermo,3
Trujillo,3
Socha,3
Candelaria,3
Sopo,3
Subachoque,3
Tocancipa,3
Villa Del Rosario,3
Villamaria,3
Caldas,3
Ubate,2
Anapoima,2
Guarne,2
Tenza,2
Cimitarra,2
Gigante,2
Viterbo,2
Guacari,2
Zona Bananera,2
Guatape,2
San Juan De Rio Seco,2
Arjona,2
Baranoa,2
La Ceja,2
Santa Rosa De Cabal,2
Santa Rosa,2
San Francisco,2
San Pedro,2
La Union,2
Agrado,1
Cerete,1
Cumbitara,1
Bugalagrande,1
Contadero,1
Andalucia,1
Concepcion,1
Anserma,1
Angostura,1
Cocorna,1
Cienaga De Oro,1
Choachi,1
Choconta,1
Malambo,1
Curiti,1
Darien,1
Quibdo,1
Riohacha,1
Sahagun,1
San Cristobal,1
San Diego,1
San Martin,1
Santa Sofia,1
Santafe De Antioquia,1
Santander De Quilichao,1
Santo Tomas,1
Santuario,1
Sincelejo,1
Sogamoso,1
Tierralta,1
Timbio,1
Ulloa,1
Yotoco,1
Puerto Tejada,1
Puerto Santander,1
Ponedera,1
Garagoa,1
Don Matias,1
El Retiro,1
Filandia,1
Frontino,1
Fundacion,1
Fusagasuga,1
Galapa,1
Ginebra,1
Polonuevo,1
La Calera,1
La Tebaida,1
Lorica,1
Melgar,1
Ocana,1
Oicata,1
Pitalito,1
Acacias,1
