date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,1,1,1,1,0,0
25/03/2020,0,1,0,1,0,0
26/03/2020,0,1,0,1,0,0
27/03/2020,0,1,0,1,0,0
28/03/2020,0,1,0,1,0,0
29/03/2020,0,1,0,1,0,0
30/03/2020,0,1,0,1,0,0
31/03/2020,0,1,0,1,0,0
01/04/2020,1,2,1,2,0,0
02/04/2020,0,2,0,2,0,0
03/04/2020,0,2,0,2,0,0
04/04/2020,0,2,0,2,0,0
05/04/2020,0,2,0,2,0,0
06/04/2020,0,2,0,2,0,0
07/04/2020,0,2,0,2,0,0
08/04/2020,0,2,0,2,0,0
09/04/2020,2,4,2,4,0,0
10/04/2020,1,5,1,5,0,0
11/04/2020,0,5,0,5,0,0
12/04/2020,0,5,0,5,0,0
13/04/2020,1,6,1,6,0,0
14/04/2020,1,7,1,7,0,0
15/04/2020,0,7,0,7,0,0
16/04/2020,0,7,0,7,0,0
17/04/2020,0,7,0,7,0,0
18/04/2020,0,7,0,7,0,0
19/04/2020,0,7,0,7,0,0
20/04/2020,0,7,0,7,0,0
21/04/2020,1,8,0,7,0,0
22/04/2020,0,8,0,7,0,0
23/04/2020,0,8,0,7,0,0
24/04/2020,0,8,0,7,0,0
25/04/2020,3,11,3,10,0,0
26/04/2020,0,11,0,10,0,0
27/04/2020,1,12,1,11,0,0
28/04/2020,0,12,0,11,0,0
29/04/2020,0,12,0,11,0,0
30/04/2020,0,12,0,11,0,0
01/05/2020,1,13,1,12,0,0
02/05/2020,1,14,1,13,0,0
03/05/2020,0,14,0,13,0,0
04/05/2020,1,15,1,14,0,0
05/05/2020,0,15,0,14,0,0
06/05/2020,0,15,0,14,0,0
07/05/2020,1,16,1,15,0,0
08/05/2020,0,16,0,15,0,0
09/05/2020,0,16,0,15,0,0
10/05/2020,0,16,0,15,0,0
11/05/2020,0,16,0,15,0,0
12/05/2020,0,16,0,15,0,0
13/05/2020,0,16,0,15,0,0
14/05/2020,0,16,0,15,0,0
15/05/2020,0,16,0,15,0,0
16/05/2020,0,16,0,15,0,0
17/05/2020,0,16,0,15,0,0
18/05/2020,0,16,0,15,0,0
19/05/2020,0,16,0,15,0,0
20/05/2020,0,16,0,15,0,0
21/05/2020,0,16,0,15,0,0
22/05/2020,0,16,0,15,0,0
23/05/2020,2,18,2,17,0,0
24/05/2020,0,18,0,17,0,0
25/05/2020,1,19,1,18,0,0
26/05/2020,0,19,0,18,0,0
27/05/2020,2,21,2,20,0,0
28/05/2020,8,29,8,28,0,0
29/05/2020,1,30,1,29,0,0
30/05/2020,2,32,2,31,0,0
31/05/2020,4,36,4,35,0,0
01/06/2020,4,40,4,39,0,0
02/06/2020,4,44,4,43,0,0
03/06/2020,2,46,2,45,0,0
04/06/2020,1,47,1,46,0,0
05/06/2020,4,51,4,50,0,0
06/06/2020,1,52,1,51,0,0
07/06/2020,2,54,2,53,0,0
08/06/2020,10,64,10,63,0,0
09/06/2020,8,72,7,70,0,0
10/06/2020,2,74,2,72,0,0
11/06/2020,1,75,1,73,0,0
12/06/2020,0,75,0,73,0,0
13/06/2020,1,76,0,73,0,0
14/06/2020,1,77,1,74,0,0
15/06/2020,1,78,0,74,0,0
16/06/2020,1,79,1,75,0,0
17/06/2020,1,80,1,76,0,0
18/06/2020,5,85,4,80,0,0
19/06/2020,2,87,2,82,0,0
20/06/2020,2,89,2,84,0,0
21/06/2020,1,90,1,85,0,0
22/06/2020,1,91,0,85,0,0
23/06/2020,3,94,1,86,0,0
24/06/2020,0,94,0,86,0,0
25/06/2020,4,98,0,86,0,0
26/06/2020,5,103,2,88,0,0
27/06/2020,2,105,1,89,0,0
28/06/2020,1,106,0,89,0,0
29/06/2020,1,107,0,89,0,0
30/06/2020,11,118,3,92,0,0
01/07/2020,7,125,0,92,0,0
02/07/2020,8,133,0,92,0,0
03/07/2020,4,137,0,92,0,0
04/07/2020,10,147,0,92,0,0
05/07/2020,1,148,0,92,0,0
06/07/2020,2,150,0,92,0,0
07/07/2020,9,159,0,92,0,0
08/07/2020,0,159,0,92,0,0
09/07/2020,15,174,0,92,0,0
10/07/2020,14,188,0,92,0,0
11/07/2020,0,188,0,92,0,0
